150 PA5-A-Debug-Answer.txt 6
  126.6386  -51.2183   77.4007  -25.3402  -83.8381  -74.6654
  -36.03    -2.26   -40.51       -36.03    -2.26   -40.51     0.000
  -12.07   -30.36   -33.34       -12.07   -30.36   -33.34     0.000
   18.76    21.77   -29.27        18.76    21.77   -29.27     0.000
   23.82    14.94    23.91        23.82    14.94    23.91     0.000
   -0.84    -9.55   -33.38        -0.84    -9.55   -33.38     0.000
  -14.63   -32.97   -26.82       -14.63   -32.97   -26.82     0.000
   12.30    17.22   -13.78        12.30    17.22   -13.78     0.000
   -8.99    10.84   -18.10        -8.99    10.84   -18.10     0.000
    0.37    11.48    -4.64         0.37    11.48    -4.64     0.000
   -7.65   -24.34    -9.59        -7.65   -24.34    -9.59     0.000
  -19.66    25.71    13.40       -19.66    25.71    13.40     0.000
   40.27     4.51   -15.92        40.27     4.51   -15.92     0.000
  -16.64    28.61    12.96       -16.64    28.61    12.96     0.000
   18.54    -1.15    70.97        18.54    -1.15    70.97     0.000
    5.94    15.88    63.65         5.94    15.88    63.65     0.000
    0.30     8.58    69.34         0.30     8.58    69.34     0.000
   26.45    -3.74   -32.10        26.45    -3.74   -32.10     0.000
   -9.86    10.02   -25.78        -9.86    10.02   -25.78     0.000
   13.73    -9.47     6.75        13.73    -9.47     6.75     0.000
  -32.10   -17.99   -44.68       -32.10   -17.99   -44.68     0.000
   -5.10    16.57    36.14        -5.10    16.57    36.14     0.000
   20.09   -11.11    -2.32        20.09   -11.11    -2.32     0.000
   -6.20     5.86    68.52        -6.20     5.86    68.52     0.000
  -15.29   -14.11    -1.91       -15.29   -14.11    -1.91     0.000
  -10.93     3.93    33.32       -10.93     3.93    33.32     0.000
   12.81    -9.69   -21.65        12.81    -9.69   -21.65     0.000
    6.58    19.68    32.79         6.58    19.68    32.79     0.000
  -14.27    10.71     7.95       -14.27    10.71     7.95     0.000
  -23.41     8.14   -36.65       -23.41     8.14   -36.65     0.000
   26.68    17.45   -29.61        26.68    17.45   -29.61     0.000
   37.76    12.12     5.33        37.76    12.12     5.33     0.000
   10.79    16.66   -10.97        10.79    16.66   -10.97     0.000
   25.08     9.12    30.31        25.08     9.12    30.31     0.000
   33.31     0.36    10.99        33.31     0.36    10.99     0.000
   -3.95   -23.07   -33.29        -3.95   -23.07   -33.29     0.000
   20.33    -0.52    63.68        20.33    -0.52    63.68     0.000
  -41.42    -8.48   -40.58       -41.42    -8.48   -40.58     0.000
   -6.45    18.00     5.40        -6.45    18.00     5.40     0.000
    9.66    17.42   -10.23         9.66    17.42   -10.23     0.000
  -36.65   -13.93   -43.43       -36.65   -13.93   -43.43     0.000
   22.98    25.85   -21.32        22.98    25.85   -21.32     0.000
  -10.71   -15.06   -44.35       -10.71   -15.06   -44.35     0.000
   18.91    13.98    40.31        18.91    13.98    40.31     0.000
   33.13    -6.16    -0.54        33.13    -6.16    -0.54     0.000
   -3.10     8.79   -10.31        -3.10     8.79   -10.31     0.000
  -40.54   -15.09   -12.28       -40.54   -15.09   -12.28     0.000
   -7.40    -3.58    68.84        -7.40    -3.58    68.84     0.000
   22.72     8.55    41.87        22.72     8.55    41.87     0.000
  -11.10   -28.95   -35.42       -11.10   -28.95   -35.42     0.000
   13.44    26.36     4.21        13.44    26.36     4.21     0.000
   -8.18   -19.40    -3.72        -8.18   -19.40    -3.72     0.000
   37.01    -6.32   -20.90        37.01    -6.32   -20.90     0.000
  -37.75   -20.21   -12.22       -37.75   -20.21   -12.22     0.000
   11.41    -0.66   -23.56        11.41    -0.66   -23.56     0.000
   22.40     3.21    51.66        22.40     3.21    51.66     0.000
  -25.96    13.69   -22.70       -25.96    13.69   -22.70     0.000
   10.48    20.96    35.07        10.48    20.96    35.07     0.000
   -1.19    13.58    50.13        -1.19    13.58    50.13     0.000
   15.39    12.90    60.18        15.39    12.90    60.18     0.000
   -7.88     6.65    -4.29        -7.88     6.65    -4.29     0.000
    6.78   -11.57     6.57         6.78   -11.57     6.57     0.000
  -33.78    -9.19   -44.93       -33.78    -9.19   -44.93     0.000
   21.71    -1.23    49.13        21.71    -1.23    49.13     0.000
    5.86    19.04    35.48         5.86    19.04    35.48     0.000
    4.43    -7.89   -26.23         4.43    -7.89   -26.23     0.000
    9.87    18.88    44.11         9.87    18.88    44.11     0.000
   17.69   -16.20   -13.77        17.69   -16.20   -13.77     0.000
   23.48    -2.89    30.43        23.48    -2.89    30.43     0.000
   12.80   -17.32    -5.83        12.80   -17.32    -5.83     0.000
  -11.11     3.53    29.12       -11.11     3.53    29.12     0.000
  -20.13    19.23    18.88       -20.13    19.23    18.88     0.000
   -9.55   -30.07   -29.58        -9.55   -30.07   -29.58     0.000
   33.61    12.23   -29.69        33.61    12.23   -29.69     0.000
    2.72    11.09    -7.62         2.72    11.09    -7.62     0.000
  -15.52     5.30    -9.62       -15.52     5.30    -9.62     0.000
   22.74     0.20    47.29        22.74     0.20    47.29     0.000
   16.37     2.51   -25.20        16.37     2.51   -25.20     0.000
    2.99     7.79   -16.72         2.99     7.79   -16.72     0.000
   -7.08     2.87   -36.10        -7.08     2.87   -36.10     0.000
   20.39    26.51     2.72        20.39    26.51     2.72     0.000
   23.12     0.66    45.75        23.12     0.66    45.75     0.000
   16.96    -4.99    55.98        16.96    -4.99    55.98     0.000
  -11.35    19.43     5.62       -11.35    19.43     5.62     0.000
   25.59    24.42   -24.67        25.59    24.42   -24.67     0.000
  -20.91   -23.86   -44.89       -20.91   -23.86   -44.89     0.000
   24.14    -7.73     0.63        24.14    -7.73     0.63     0.000
   -9.93   -17.16   -44.24        -9.93   -17.16   -44.24     0.000
    6.88    23.63     9.37         6.88    23.63     9.37     0.000
   27.57    15.21   -30.44        27.57    15.21   -30.44     0.000
   10.06    -0.51   -22.91        10.06    -0.51   -22.91     0.000
   -5.11    19.99     5.68        -5.11    19.99     5.68     0.000
  -20.64    24.36    17.41       -20.64    24.36    17.41     0.000
  -11.44     6.37    -9.08       -11.44     6.37    -9.08     0.000
   36.63    -6.48   -18.41        36.63    -6.48   -18.41     0.000
   11.76    20.88   -22.72        11.76    20.88   -22.72     0.000
   36.10    -1.52   -27.27        36.10    -1.52   -27.27     0.000
   10.41   -10.56   -22.09        10.41   -10.56   -22.09     0.000
