150 PA5-B-Debug-Answer.txt 6
  112.9156   81.1828   30.0387  136.9067  -67.8432  -62.6191
   17.00   -10.69     1.54        17.00   -10.69     1.54     0.000
   38.78     2.07     4.38        38.78     2.07     4.38     0.000
   -2.44     2.43   -24.61        -2.44     2.43   -24.61     0.000
    0.71    -7.58   -35.82         0.71    -7.58   -35.82     0.000
   -6.19    -3.09   -43.87        -6.19    -3.09   -43.87     0.000
    1.46    -0.42    52.32         1.46    -0.42    52.32     0.000
  -24.75   -12.71   -48.56       -24.75   -12.71   -48.56     0.000
   22.14    20.80     7.48        22.14    20.80     7.48     0.000
    1.85    14.94    -5.88         1.85    14.94    -5.88     0.000
    9.25    21.18    -6.45         9.25    21.18    -6.45     0.000
  -23.56    -9.85    -6.91       -23.56    -9.85    -6.91     0.000
   19.88    -9.14     1.85        19.88    -9.14     1.85     0.000
   -3.73   -22.82   -38.26        -3.73   -22.82   -38.26     0.000
   33.09     2.90    16.29        33.09     2.90    16.29     0.000
    9.62    -3.27    22.59         9.62    -3.27    22.59     0.000
    6.28    18.35   -11.49         6.28    18.35   -11.49     0.000
   -6.44    12.65    62.70        -6.44    12.65    62.70     0.000
   -4.29     7.03   -19.92        -4.29     7.03   -19.92     0.000
   -3.27     2.52   -32.12        -3.27     2.52   -32.12     0.000
   -5.50    14.96    55.34        -5.50    14.96    55.34     0.000
  -24.62    11.05   -35.98       -24.62    11.05   -35.98     0.000
   10.86    -3.08    45.44        10.86    -3.08    45.44     0.000
   -3.57   -15.98    -6.88        -3.57   -15.98    -6.88     0.000
   -7.39     3.09    43.25        -7.39     3.09    43.25     0.000
  -29.18    -0.66   -46.25       -29.18    -0.66   -46.25     0.000
    0.66    19.22    45.53         0.66    19.22    45.53     0.000
  -36.71    -8.73   -43.81       -36.71    -8.73   -43.81     0.000
   12.73    22.35    14.64        12.73    22.35    14.64     0.000
    5.01     2.98    68.80         5.01     2.98    68.80     0.000
  -44.49    -8.94   -34.37       -44.49    -8.94   -34.37     0.000
    1.96    21.34    17.70         1.96    21.34    17.70     0.000
   -1.15    -9.68     3.44        -1.15    -9.68     3.44     0.000
  -34.39   -18.25   -16.84       -34.39   -18.25   -16.84     0.000
   23.37    13.22    63.88        23.37    13.22    63.88     0.000
   -7.16   -24.93   -19.84        -7.16   -24.93   -19.84     0.000
