400 PA5-E-Debug-Answer.txt 6
   85.4398   73.5342  -15.8592   91.6884   75.1156   54.9589
  -33.69   -16.65   -43.58       -33.71   -16.66   -43.60     0.029
  -41.10   -14.21   -24.43       -41.09   -14.21   -24.44     0.017
  -16.89   -23.53   -43.72       -16.91   -23.49   -43.64     0.090
   -1.50    -8.49   -39.84        -1.49    -8.49   -39.84     0.002
   15.84    14.23   -31.66        15.84    14.21   -31.63     0.034
   26.50     3.52    35.62        26.48     3.52    35.61     0.017
    8.30    16.66   -15.71         8.25    16.69   -15.75     0.077
   27.77    16.79   -19.84        27.74    16.78   -19.83     0.039
   -5.50   -21.45   -26.17        -5.55   -21.43   -26.18     0.056
   -5.85     1.65    50.72        -5.64     1.67    50.67     0.224
  -33.33    -1.82   -14.49       -33.34    -1.81   -14.47     0.024
   32.42     8.94   -19.13        32.47     8.94   -19.15     0.049
    2.74    -4.39    39.76         2.74    -4.31    39.75     0.079
   -3.51    20.13    38.29        -3.48    20.00    38.27     0.141
  -32.68    -0.40   -14.71       -32.63    -0.44   -14.81     0.119
  -30.34   -26.65   -25.12       -30.38   -26.73   -25.10     0.087
   -4.90     9.92    68.46        -4.92     9.92    68.48     0.029
    9.02    14.78   -15.85         8.96    14.71   -15.88     0.089
    0.11    11.68    -6.99         0.08    11.72    -7.00     0.051
   -0.75    19.62    55.85        -0.81    19.69    55.86     0.087
   14.24     1.01   -19.24        14.23     1.01   -19.25     0.008
  -15.40     8.42   -24.58       -15.43     8.32   -24.57     0.104
    5.30    -6.41    20.39         5.25    -6.28    20.36     0.138
  -21.60     9.57   -31.75       -21.60     9.45   -31.75     0.122
  -35.77   -20.66   -19.33       -35.79   -20.67   -19.32     0.017
   14.20     2.22   -18.87        14.23     2.21   -18.84     0.042
  -17.64   -23.11   -13.52       -17.67   -23.08   -13.57     0.062
   26.44     5.06    36.39        26.34     5.07    36.36     0.107
   25.65    21.05     2.31        25.63    20.99     2.31     0.059
   12.15    -8.08   -22.40        12.15    -8.08   -22.40     0.002
   15.48   -13.09   -20.38        15.49   -13.08   -20.38     0.004
   40.15     1.04     5.79        40.14     1.04     5.79     0.014
  -26.34    -6.28   -47.73       -26.31    -6.28   -47.68     0.063
    6.49    22.60    62.23         6.46    22.71    62.23     0.119
  -19.08   -10.47    -5.65       -19.09   -10.49    -5.62     0.037
   14.01    22.58     1.92        14.01    22.44     1.91     0.140
    4.80    -4.25    52.70         4.80    -4.22    52.70     0.036
    2.02    -3.92    42.88         1.99    -4.10    42.88     0.181
   -8.22    -0.80    32.48        -8.16    -0.80    32.47     0.062
  -27.28   -27.06   -36.69       -27.29   -27.08   -36.70     0.019
   29.04    -8.66   -21.89        29.03    -8.62   -21.89     0.036
  -18.72   -30.09   -32.84       -18.72   -30.07   -32.83     0.020
  -13.58   -24.06   -42.00       -13.58   -24.07   -42.00     0.012
   32.92    -7.25   -14.33        32.97    -7.32   -14.34     0.082
   32.45    -8.17     7.18        32.47    -8.20     7.17     0.037
   17.76    20.93    26.58        17.82    21.11    26.59     0.191
   24.35    10.03    48.94        24.37    10.03    48.94     0.020
  -10.17    -5.57    11.15       -10.12    -5.52    11.12     0.084
   24.21    15.29    37.47        24.21    15.29    37.47     0.002
  -35.26   -23.45   -29.24       -35.28   -23.47   -29.24     0.036
   37.56    -1.68    -3.75        37.73    -1.81    -3.74     0.209
  -32.02     7.09   -26.82       -32.08     7.21   -26.81     0.132
   29.28     7.83    23.39        29.23     7.81    23.38     0.055
   34.25     7.75    11.77        34.28     7.78    11.80     0.051
   -8.46    10.31    44.83        -8.60    10.25    44.87     0.157
    8.81     3.74    67.94         8.82     3.77    67.97     0.045
  -25.30    -6.26   -47.74       -25.31    -6.26   -47.70     0.044
  -21.19   -30.16   -32.65       -21.18   -30.04   -32.63     0.117
   15.73    21.34    35.71        15.73    21.35    35.71     0.002
   25.56    13.43    34.51        25.47    13.40    34.50     0.102
   12.40    12.48   -28.02        12.46    12.52   -27.98     0.080
   33.46    -6.27     0.57        33.41    -6.22     0.57     0.070
  -14.60     4.95    34.58       -14.67     4.92    34.60     0.075
